,,,
IBEX 35®,"6.870,40","6.940,40","6.829,40"
IBEX 35® con Dividendos,"20.527,60","20.736,80","20.404,90"
IBEX MEDIUM CAP®,"10.514,10","10.542,60","10.431,00"
IBEX SMALL CAP®,"6.591,20","6.624,20","6.540,70"
IBEX 35® Bancos,"254,60","265,50","253,70"
IBEX 35® Energía,"1.197,00","1.202,50","1.186,90"
IBEX 35® Construcción,"1.174,50","1.196,70","1.164,20"
IBEX TOP Dividendo®,"1.759,50","1.786,20","1.757,10"
IBEX 35® con Dividendos Netos,"17.254,80","17.430,60","17.151,60"
IBEX 35® Inverso,"2.987,60","3.005,20","2.957,60"
IBEX 35® Doble Inverso,"461,40","466,80","452,30"
IBEX 35® Inverso X3,"28,10","28,60","27,30"
IBEX 35® Inverso X5,"7.155,30","7.359,60","6.807,00"
IBEX 35® Inverso X10,"3.594,60","3.792,50","3.257,30"
IBEX 35® Doble Apalancado,"2.565,60","2.618,30","2.534,70"
IBEX 35® Doble Apalancado Bruto,"11.486,20","11.722,20","11.347,80"
IBEX 35® Doble Apalancado Neto,"9.634,80","9.832,70","9.518,70"
IBEX 35® Apalancado X3,"294,20","303,30","288,80"
IBEX 35® Apalancado Neto X3,"3.275,60","3.377,30","3.215,90"
IBEX 35® Apalancado Neto X5,"129,20","136,00","125,20"
IBEX 35® Apalancado Neto X10,"84,50","93,80","79,10"
IBEX 35® Capped Net Return,"17.302,00","17.478,30","17.198,60"
IBEX 35® Impacto Div,"202,30","202,30","202,30"
IBEX 35® Volatilidad Objetivo 10% Estándar,"162,90","163,70","162,50"
IBEX 35® Volatilidad Objetivo 12% Estándar,"164,70","165,60","164,20"
IBEX 35® Volatilidad Objetivo 15% Estándar,"163,70","164,80","163,00"
IBEX 35® Volatilidad Objetivo 18% Estándar,"158,80","160,10","158,10"
IBEX 35® Volatilidad Objetivo 10% Financiado,"118,40","118,90","118,10"
IBEX 35® Volatilidad Objetivo 12% Financiado,"117,40","118,00","117,10"
IBEX 35® Volatilidad Objetivo 15% Financiado,"119,90","120,70","119,40"
IBEX 35® Volatilidad Objetivo 18% Financiado,"112,10","113,00","111,60"
VIBEX®,"23,11","23,11","23,11"
IBEX 35® Skew,"7,19","7,19","7,19"
IBEX 35® BuyWrite,"1.259,00","1.259,00","1.259,00"
IBEX 35® PutWrite,"1.281,77","1.281,77","1.281,77"
IBEX 35® Protective Put,"565,82","565,82","565,82"
IBEX 35® Venta de Strangle,"1.617,33","1.617,33","1.617,33"
IBEX TOP Dividendo® Rentabilidad,"4.576,50","4.646,10","4.570,40"
IBEX TOP Dividendo® Rentabilidad Neta,"3.814,50","3.872,50","3.809,40"
IBEX MEDIUM CAP® con Dividendos,"11.660,60","11.692,20","11.568,40"
IBEX MEDIUM CAP® con Dividendos Netos,"10.873,10","10.902,50","10.787,10"
IBEX SMALL CAP® con Dividendos,"9.649,00","9.697,40","9.575,10"
IBEX SMALL CAP® con Dividendos Netos,"9.307,50","9.354,20","9.236,20"
IBEX Growth Market® 15,"2.104,60","2.116,50","2.095,90"
IBEX Growth Market® All Share,"1.690,30","1.698,00","1.678,40"
FTSE4Good IBEX,"6.973,80","7.051,40","6.942,90"
FTSE4Good IBEX Total Return,"15.267,00","15.436,80","15.199,20"
FTSE4Good IBEX Net Return,"13.557,10","13.708,00","13.497,00"
FTSE Latibex All Share,"1.538,10","1.538,10","1.523,90"
FTSE Latibex TOP,"3.672,20","3.672,20","3.626,50"
FTSE Latibex BRASIL,"7.910,30","7.910,30","7.776,10"
I.G.B.M.,"677,15","683,99","673,45"
I.G.B.M. Total,"2.850,83","2.850,83","2.850,83"
BCN GLOBAL 100 (Base 1986),"492,81","499,40","491,12"
BCN GLOBAL 100 (Base 1963),"1.266,60","1.283,55","1.262,28"
BCN MID 50,"19.133,12","19.271,69","19.055,24"
BCN PROFIT-30,"8.390,44","8.470,60","8.362,78"
BCN ROE-30,"14.838,24","14.908,78","14.763,53"
BCN PER-30,"12.767,75","12.941,50","12.736,95"
BCN INDEXCAT,"17.072,93","17.193,28","17.023,83"
BILBAO,"1.104,28","1.113,31","1.097,34"
VALENCIA,"900,58","912,49","897,41"
Índice TEF Apalancado X3,"94,40","108,50","94,40"
Índice SAN Apalancado X3,"87,90","99,10","86,60"
Índice BBVA Apalancado X3,"78,10","91,50","77,70"
Índice ITX Apalancado X3,"2.204,30","2.229,90","2.079,00"
Índice TEF Apalancado X5,"77,70","98,60","77,70"
Índice SAN Apalancado X5,"289,80","354,50","282,30"
Índice BBVA Apalancado X5,"37,10","48,50","36,80"
Índice ITX Apalancado X5,"132,40","135,00","119,90"
Índice TEF Inverso X3,"8.636,20","8.636,20","7.589,30"
Índice SAN Inverso X3,"906,60","918,20","806,70"
Índice BBVA Inverso X3,"1.321,30","1.327,00","1.130,30"
Índice ITX Inverso X3,"916,80","969,00","906,20"
Índice TEF Inverso X5,"1.146,60","1.146,60","928,60"
Índice SAN Inverso X5,"625,60","638,40","515,50"
Índice BBVA Inverso X5,"13.425,20","13.516,90","10.353,00"
Índice ITX Inverso X5,"29,40","32,20","28,80"
IBEX 35®,,,
IBEX 35®,,,
IBEX 35®,"6.870,40",,
IBEX 35®,"6.870,40",,
IBEX 35®,"6.870,40","6.940,40",
IBEX 35®,"6.870,40","6.940,40","6.829,40"
IBEX 35®,"6.870,40","6.940,40","6.829,40"
IBEX 35®,"6.870,40","6.940,40","6.829,40"
IBEX 35®,"6.870,40","6.940,40","6.829,40"
IBEX 35® con Dividendos,"6.870,40","6.940,40","6.829,40"
IBEX 35® con Dividendos,"6.870,40","6.940,40","6.829,40"
IBEX 35® con Dividendos,"20.527,60","6.940,40","6.829,40"
IBEX 35® con Dividendos,"20.527,60","6.940,40","6.829,40"
IBEX 35® con Dividendos,"20.527,60","20.736,80","6.829,40"
IBEX 35® con Dividendos,"20.527,60","20.736,80","20.404,90"
IBEX 35® con Dividendos,"20.527,60","20.736,80","20.404,90"
IBEX 35® con Dividendos,"20.527,60","20.736,80","20.404,90"
IBEX 35® con Dividendos,"20.527,60","20.736,80","20.404,90"
IBEX MEDIUM CAP®,"20.527,60","20.736,80","20.404,90"
IBEX MEDIUM CAP®,"20.527,60","20.736,80","20.404,90"
IBEX MEDIUM CAP®,"10.514,10","20.736,80","20.404,90"
IBEX MEDIUM CAP®,"10.514,10","20.736,80","20.404,90"
IBEX MEDIUM CAP®,"10.514,10","10.542,60","20.404,90"
IBEX MEDIUM CAP®,"10.514,10","10.542,60","10.431,00"
IBEX MEDIUM CAP®,"10.514,10","10.542,60","10.431,00"
IBEX MEDIUM CAP®,"10.514,10","10.542,60","10.431,00"
IBEX MEDIUM CAP®,"10.514,10","10.542,60","10.431,00"
IBEX SMALL CAP®,"10.514,10","10.542,60","10.431,00"
IBEX SMALL CAP®,"10.514,10","10.542,60","10.431,00"
IBEX SMALL CAP®,"6.591,20","10.542,60","10.431,00"
IBEX SMALL CAP®,"6.591,20","10.542,60","10.431,00"
IBEX SMALL CAP®,"6.591,20","6.624,20","10.431,00"
IBEX SMALL CAP®,"6.591,20","6.624,20","6.540,70"
IBEX SMALL CAP®,"6.591,20","6.624,20","6.540,70"
IBEX SMALL CAP®,"6.591,20","6.624,20","6.540,70"
IBEX SMALL CAP®,"6.591,20","6.624,20","6.540,70"
IBEX 35® Bancos,"6.591,20","6.624,20","6.540,70"
IBEX 35® Bancos,"6.591,20","6.624,20","6.540,70"
IBEX 35® Bancos,"254,60","6.624,20","6.540,70"
IBEX 35® Bancos,"254,60","6.624,20","6.540,70"
IBEX 35® Bancos,"254,60","265,50","6.540,70"
IBEX 35® Bancos,"254,60","265,50","253,70"
IBEX 35® Bancos,"254,60","265,50","253,70"
IBEX 35® Bancos,"254,60","265,50","253,70"
IBEX 35® Bancos,"254,60","265,50","253,70"
IBEX 35® Energía,"254,60","265,50","253,70"
IBEX 35® Energía,"254,60","265,50","253,70"
IBEX 35® Energía,"1.197,00","265,50","253,70"
IBEX 35® Energía,"1.197,00","265,50","253,70"
IBEX 35® Energía,"1.197,00","1.202,50","253,70"
IBEX 35® Energía,"1.197,00","1.202,50","1.186,90"
IBEX 35® Energía,"1.197,00","1.202,50","1.186,90"
IBEX 35® Energía,"1.197,00","1.202,50","1.186,90"
IBEX 35® Energía,"1.197,00","1.202,50","1.186,90"
IBEX 35® Construcción,"1.197,00","1.202,50","1.186,90"
IBEX 35® Construcción,"1.197,00","1.202,50","1.186,90"
IBEX 35® Construcción,"1.174,50","1.202,50","1.186,90"
IBEX 35® Construcción,"1.174,50","1.202,50","1.186,90"
IBEX 35® Construcción,"1.174,50","1.196,70","1.186,90"
IBEX 35® Construcción,"1.174,50","1.196,70","1.164,20"
IBEX 35® Construcción,"1.174,50","1.196,70","1.164,20"
IBEX 35® Construcción,"1.174,50","1.196,70","1.164,20"
IBEX 35® Construcción,"1.174,50","1.196,70","1.164,20"
IBEX TOP Dividendo®,"1.174,50","1.196,70","1.164,20"
IBEX TOP Dividendo®,"1.174,50","1.196,70","1.164,20"
IBEX TOP Dividendo®,"1.759,50","1.196,70","1.164,20"
IBEX TOP Dividendo®,"1.759,50","1.196,70","1.164,20"
IBEX TOP Dividendo®,"1.759,50","1.786,20","1.164,20"
IBEX TOP Dividendo®,"1.759,50","1.786,20","1.757,10"
IBEX TOP Dividendo®,"1.759,50","1.786,20","1.757,10"
IBEX TOP Dividendo®,"1.759,50","1.786,20","1.757,10"
IBEX TOP Dividendo®,"1.759,50","1.786,20","1.757,10"
IBEX 35® con Dividendos Netos,"1.759,50","1.786,20","1.757,10"
IBEX 35® con Dividendos Netos,"1.759,50","1.786,20","1.757,10"
IBEX 35® con Dividendos Netos,"17.254,80","1.786,20","1.757,10"
IBEX 35® con Dividendos Netos,"17.254,80","1.786,20","1.757,10"
IBEX 35® con Dividendos Netos,"17.254,80","17.430,60","1.757,10"
IBEX 35® con Dividendos Netos,"17.254,80","17.430,60","17.151,60"
IBEX 35® con Dividendos Netos,"17.254,80","17.430,60","17.151,60"
IBEX 35® con Dividendos Netos,"17.254,80","17.430,60","17.151,60"
IBEX 35® con Dividendos Netos,"17.254,80","17.430,60","17.151,60"
IBEX 35® Inverso,"17.254,80","17.430,60","17.151,60"
IBEX 35® Inverso,"17.254,80","17.430,60","17.151,60"
IBEX 35® Inverso,"2.987,60","17.430,60","17.151,60"
IBEX 35® Inverso,"2.987,60","17.430,60","17.151,60"
IBEX 35® Inverso,"2.987,60","3.005,20","17.151,60"
IBEX 35® Inverso,"2.987,60","3.005,20","2.957,60"
IBEX 35® Inverso,"2.987,60","3.005,20","2.957,60"
IBEX 35® Inverso,"2.987,60","3.005,20","2.957,60"
IBEX 35® Inverso,"2.987,60","3.005,20","2.957,60"
IBEX 35® Doble Inverso,"2.987,60","3.005,20","2.957,60"
IBEX 35® Doble Inverso,"2.987,60","3.005,20","2.957,60"
IBEX 35® Doble Inverso,"461,40","3.005,20","2.957,60"
IBEX 35® Doble Inverso,"461,40","3.005,20","2.957,60"
IBEX 35® Doble Inverso,"461,40","466,80","2.957,60"
IBEX 35® Doble Inverso,"461,40","466,80","452,30"
IBEX 35® Doble Inverso,"461,40","466,80","452,30"
IBEX 35® Doble Inverso,"461,40","466,80","452,30"
IBEX 35® Doble Inverso,"461,40","466,80","452,30"
IBEX 35® Inverso X3,"461,40","466,80","452,30"
IBEX 35® Inverso X3,"461,40","466,80","452,30"
IBEX 35® Inverso X3,"28,10","466,80","452,30"
IBEX 35® Inverso X3,"28,10","466,80","452,30"
IBEX 35® Inverso X3,"28,10","28,60","452,30"
IBEX 35® Inverso X3,"28,10","28,60","27,30"
IBEX 35® Inverso X3,"28,10","28,60","27,30"
IBEX 35® Inverso X3,"28,10","28,60","27,30"
IBEX 35® Inverso X3,"28,10","28,60","27,30"
IBEX 35® Inverso X5,"28,10","28,60","27,30"
IBEX 35® Inverso X5,"28,10","28,60","27,30"
IBEX 35® Inverso X5,"7.155,30","28,60","27,30"
IBEX 35® Inverso X5,"7.155,30","28,60","27,30"
IBEX 35® Inverso X5,"7.155,30","7.359,60","27,30"
IBEX 35® Inverso X5,"7.155,30","7.359,60","6.807,00"
IBEX 35® Inverso X5,"7.155,30","7.359,60","6.807,00"
IBEX 35® Inverso X5,"7.155,30","7.359,60","6.807,00"
IBEX 35® Inverso X5,"7.155,30","7.359,60","6.807,00"
IBEX 35® Inverso X10,"7.155,30","7.359,60","6.807,00"
IBEX 35® Inverso X10,"7.155,30","7.359,60","6.807,00"
IBEX 35® Inverso X10,"3.594,60","7.359,60","6.807,00"
IBEX 35® Inverso X10,"3.594,60","7.359,60","6.807,00"
IBEX 35® Inverso X10,"3.594,60","3.792,50","6.807,00"
IBEX 35® Inverso X10,"3.594,60","3.792,50","3.257,30"
IBEX 35® Inverso X10,"3.594,60","3.792,50","3.257,30"
IBEX 35® Inverso X10,"3.594,60","3.792,50","3.257,30"
IBEX 35® Inverso X10,"3.594,60","3.792,50","3.257,30"
IBEX 35® Doble Apalancado,"3.594,60","3.792,50","3.257,30"
IBEX 35® Doble Apalancado,"3.594,60","3.792,50","3.257,30"
IBEX 35® Doble Apalancado,"2.565,60","3.792,50","3.257,30"
IBEX 35® Doble Apalancado,"2.565,60","3.792,50","3.257,30"
IBEX 35® Doble Apalancado,"2.565,60","2.618,30","3.257,30"
IBEX 35® Doble Apalancado,"2.565,60","2.618,30","2.534,70"
IBEX 35® Doble Apalancado,"2.565,60","2.618,30","2.534,70"
IBEX 35® Doble Apalancado,"2.565,60","2.618,30","2.534,70"
IBEX 35® Doble Apalancado,"2.565,60","2.618,30","2.534,70"
IBEX 35® Doble Apalancado Bruto,"2.565,60","2.618,30","2.534,70"
IBEX 35® Doble Apalancado Bruto,"2.565,60","2.618,30","2.534,70"
IBEX 35® Doble Apalancado Bruto,"11.486,20","2.618,30","2.534,70"
IBEX 35® Doble Apalancado Bruto,"11.486,20","2.618,30","2.534,70"
IBEX 35® Doble Apalancado Bruto,"11.486,20","11.722,20","2.534,70"
IBEX 35® Doble Apalancado Bruto,"11.486,20","11.722,20","11.347,80"
IBEX 35® Doble Apalancado Bruto,"11.486,20","11.722,20","11.347,80"
IBEX 35® Doble Apalancado Bruto,"11.486,20","11.722,20","11.347,80"
IBEX 35® Doble Apalancado Bruto,"11.486,20","11.722,20","11.347,80"
IBEX 35® Doble Apalancado Neto,"11.486,20","11.722,20","11.347,80"
IBEX 35® Doble Apalancado Neto,"11.486,20","11.722,20","11.347,80"
IBEX 35® Doble Apalancado Neto,"9.634,80","11.722,20","11.347,80"
IBEX 35® Doble Apalancado Neto,"9.634,80","11.722,20","11.347,80"
IBEX 35® Doble Apalancado Neto,"9.634,80","9.832,70","11.347,80"
IBEX 35® Doble Apalancado Neto,"9.634,80","9.832,70","9.518,70"
IBEX 35® Doble Apalancado Neto,"9.634,80","9.832,70","9.518,70"
IBEX 35® Doble Apalancado Neto,"9.634,80","9.832,70","9.518,70"
IBEX 35® Doble Apalancado Neto,"9.634,80","9.832,70","9.518,70"
IBEX 35® Apalancado X3,"9.634,80","9.832,70","9.518,70"
IBEX 35® Apalancado X3,"9.634,80","9.832,70","9.518,70"
IBEX 35® Apalancado X3,"294,20","9.832,70","9.518,70"
IBEX 35® Apalancado X3,"294,20","9.832,70","9.518,70"
IBEX 35® Apalancado X3,"294,20","303,30","9.518,70"
IBEX 35® Apalancado X3,"294,20","303,30","288,80"
IBEX 35® Apalancado X3,"294,20","303,30","288,80"
IBEX 35® Apalancado X3,"294,20","303,30","288,80"
IBEX 35® Apalancado X3,"294,20","303,30","288,80"
IBEX 35® Apalancado Neto X3,"294,20","303,30","288,80"
IBEX 35® Apalancado Neto X3,"294,20","303,30","288,80"
IBEX 35® Apalancado Neto X3,"3.275,60","303,30","288,80"
IBEX 35® Apalancado Neto X3,"3.275,60","303,30","288,80"
IBEX 35® Apalancado Neto X3,"3.275,60","3.377,30","288,80"
IBEX 35® Apalancado Neto X3,"3.275,60","3.377,30","3.215,90"
IBEX 35® Apalancado Neto X3,"3.275,60","3.377,30","3.215,90"
IBEX 35® Apalancado Neto X3,"3.275,60","3.377,30","3.215,90"
IBEX 35® Apalancado Neto X3,"3.275,60","3.377,30","3.215,90"
IBEX 35® Apalancado Neto X5,"3.275,60","3.377,30","3.215,90"
IBEX 35® Apalancado Neto X5,"3.275,60","3.377,30","3.215,90"
IBEX 35® Apalancado Neto X5,"129,20","3.377,30","3.215,90"
IBEX 35® Apalancado Neto X5,"129,20","3.377,30","3.215,90"
IBEX 35® Apalancado Neto X5,"129,20","136,00","3.215,90"
IBEX 35® Apalancado Neto X5,"129,20","136,00","125,20"
IBEX 35® Apalancado Neto X5,"129,20","136,00","125,20"
IBEX 35® Apalancado Neto X5,"129,20","136,00","125,20"
IBEX 35® Apalancado Neto X5,"129,20","136,00","125,20"
IBEX 35® Apalancado Neto X10,"129,20","136,00","125,20"
IBEX 35® Apalancado Neto X10,"129,20","136,00","125,20"
IBEX 35® Apalancado Neto X10,"84,50","136,00","125,20"
IBEX 35® Apalancado Neto X10,"84,50","136,00","125,20"
IBEX 35® Apalancado Neto X10,"84,50","93,80","125,20"
IBEX 35® Apalancado Neto X10,"84,50","93,80","79,10"
IBEX 35® Apalancado Neto X10,"84,50","93,80","79,10"
IBEX 35® Apalancado Neto X10,"84,50","93,80","79,10"
IBEX 35® Apalancado Neto X10,"84,50","93,80","79,10"
IBEX 35® Capped Net Return,"84,50","93,80","79,10"
IBEX 35® Capped Net Return,"84,50","93,80","79,10"
IBEX 35® Capped Net Return,"17.302,00","93,80","79,10"
IBEX 35® Capped Net Return,"17.302,00","93,80","79,10"
IBEX 35® Capped Net Return,"17.302,00","17.478,30","79,10"
IBEX 35® Capped Net Return,"17.302,00","17.478,30","17.198,60"
IBEX 35® Capped Net Return,"17.302,00","17.478,30","17.198,60"
IBEX 35® Capped Net Return,"17.302,00","17.478,30","17.198,60"
IBEX 35® Capped Net Return,"17.302,00","17.478,30","17.198,60"
IBEX 35® Impacto Div,"17.302,00","17.478,30","17.198,60"
IBEX 35® Impacto Div,"17.302,00","17.478,30","17.198,60"
IBEX 35® Impacto Div,"202,30","17.478,30","17.198,60"
IBEX 35® Impacto Div,"202,30","17.478,30","17.198,60"
IBEX 35® Impacto Div,"202,30","202,30","17.198,60"
IBEX 35® Impacto Div,"202,30","202,30","202,30"
IBEX 35® Impacto Div,"202,30","202,30","202,30"
IBEX 35® Impacto Div,"202,30","202,30","202,30"
IBEX 35® Impacto Div,"202,30","202,30","202,30"
IBEX 35® Volatilidad Objetivo 10% Estándar,"202,30","202,30","202,30"
IBEX 35® Volatilidad Objetivo 10% Estándar,"202,30","202,30","202,30"
IBEX 35® Volatilidad Objetivo 10% Estándar,"162,90","202,30","202,30"
IBEX 35® Volatilidad Objetivo 10% Estándar,"162,90","202,30","202,30"
IBEX 35® Volatilidad Objetivo 10% Estándar,"162,90","163,70","202,30"
IBEX 35® Volatilidad Objetivo 10% Estándar,"162,90","163,70","162,50"
IBEX 35® Volatilidad Objetivo 10% Estándar,"162,90","163,70","162,50"
IBEX 35® Volatilidad Objetivo 10% Estándar,"162,90","163,70","162,50"
IBEX 35® Volatilidad Objetivo 10% Estándar,"162,90","163,70","162,50"
IBEX 35® Volatilidad Objetivo 12% Estándar,"162,90","163,70","162,50"
IBEX 35® Volatilidad Objetivo 12% Estándar,"162,90","163,70","162,50"
IBEX 35® Volatilidad Objetivo 12% Estándar,"164,70","163,70","162,50"
IBEX 35® Volatilidad Objetivo 12% Estándar,"164,70","163,70","162,50"
IBEX 35® Volatilidad Objetivo 12% Estándar,"164,70","165,60","162,50"
IBEX 35® Volatilidad Objetivo 12% Estándar,"164,70","165,60","164,20"
IBEX 35® Volatilidad Objetivo 12% Estándar,"164,70","165,60","164,20"
IBEX 35® Volatilidad Objetivo 12% Estándar,"164,70","165,60","164,20"
IBEX 35® Volatilidad Objetivo 12% Estándar,"164,70","165,60","164,20"
IBEX 35® Volatilidad Objetivo 15% Estándar,"164,70","165,60","164,20"
IBEX 35® Volatilidad Objetivo 15% Estándar,"164,70","165,60","164,20"
IBEX 35® Volatilidad Objetivo 15% Estándar,"163,70","165,60","164,20"
IBEX 35® Volatilidad Objetivo 15% Estándar,"163,70","165,60","164,20"
IBEX 35® Volatilidad Objetivo 15% Estándar,"163,70","164,80","164,20"
IBEX 35® Volatilidad Objetivo 15% Estándar,"163,70","164,80","163,00"
IBEX 35® Volatilidad Objetivo 15% Estándar,"163,70","164,80","163,00"
IBEX 35® Volatilidad Objetivo 15% Estándar,"163,70","164,80","163,00"
IBEX 35® Volatilidad Objetivo 15% Estándar,"163,70","164,80","163,00"
IBEX 35® Volatilidad Objetivo 18% Estándar,"163,70","164,80","163,00"
IBEX 35® Volatilidad Objetivo 18% Estándar,"163,70","164,80","163,00"
IBEX 35® Volatilidad Objetivo 18% Estándar,"158,80","164,80","163,00"
IBEX 35® Volatilidad Objetivo 18% Estándar,"158,80","164,80","163,00"
IBEX 35® Volatilidad Objetivo 18% Estándar,"158,80","160,10","163,00"
IBEX 35® Volatilidad Objetivo 18% Estándar,"158,80","160,10","158,10"
IBEX 35® Volatilidad Objetivo 18% Estándar,"158,80","160,10","158,10"
IBEX 35® Volatilidad Objetivo 18% Estándar,"158,80","160,10","158,10"
IBEX 35® Volatilidad Objetivo 18% Estándar,"158,80","160,10","158,10"
IBEX 35® Volatilidad Objetivo 10% Financiado,"158,80","160,10","158,10"
IBEX 35® Volatilidad Objetivo 10% Financiado,"158,80","160,10","158,10"
IBEX 35® Volatilidad Objetivo 10% Financiado,"118,40","160,10","158,10"
IBEX 35® Volatilidad Objetivo 10% Financiado,"118,40","160,10","158,10"
IBEX 35® Volatilidad Objetivo 10% Financiado,"118,40","118,90","158,10"
IBEX 35® Volatilidad Objetivo 10% Financiado,"118,40","118,90","118,10"
IBEX 35® Volatilidad Objetivo 10% Financiado,"118,40","118,90","118,10"
IBEX 35® Volatilidad Objetivo 10% Financiado,"118,40","118,90","118,10"
IBEX 35® Volatilidad Objetivo 10% Financiado,"118,40","118,90","118,10"
IBEX 35® Volatilidad Objetivo 12% Financiado,"118,40","118,90","118,10"
IBEX 35® Volatilidad Objetivo 12% Financiado,"118,40","118,90","118,10"
IBEX 35® Volatilidad Objetivo 12% Financiado,"117,40","118,90","118,10"
IBEX 35® Volatilidad Objetivo 12% Financiado,"117,40","118,90","118,10"
IBEX 35® Volatilidad Objetivo 12% Financiado,"117,40","118,00","118,10"
IBEX 35® Volatilidad Objetivo 12% Financiado,"117,40","118,00","117,10"
IBEX 35® Volatilidad Objetivo 12% Financiado,"117,40","118,00","117,10"
IBEX 35® Volatilidad Objetivo 12% Financiado,"117,40","118,00","117,10"
IBEX 35® Volatilidad Objetivo 12% Financiado,"117,40","118,00","117,10"
IBEX 35® Volatilidad Objetivo 15% Financiado,"117,40","118,00","117,10"
IBEX 35® Volatilidad Objetivo 15% Financiado,"117,40","118,00","117,10"
IBEX 35® Volatilidad Objetivo 15% Financiado,"119,90","118,00","117,10"
IBEX 35® Volatilidad Objetivo 15% Financiado,"119,90","118,00","117,10"
IBEX 35® Volatilidad Objetivo 15% Financiado,"119,90","120,70","117,10"
IBEX 35® Volatilidad Objetivo 15% Financiado,"119,90","120,70","119,40"
IBEX 35® Volatilidad Objetivo 15% Financiado,"119,90","120,70","119,40"
IBEX 35® Volatilidad Objetivo 15% Financiado,"119,90","120,70","119,40"
IBEX 35® Volatilidad Objetivo 15% Financiado,"119,90","120,70","119,40"
IBEX 35® Volatilidad Objetivo 18% Financiado,"119,90","120,70","119,40"
IBEX 35® Volatilidad Objetivo 18% Financiado,"119,90","120,70","119,40"
IBEX 35® Volatilidad Objetivo 18% Financiado,"112,10","120,70","119,40"
IBEX 35® Volatilidad Objetivo 18% Financiado,"112,10","120,70","119,40"
IBEX 35® Volatilidad Objetivo 18% Financiado,"112,10","113,00","119,40"
IBEX 35® Volatilidad Objetivo 18% Financiado,"112,10","113,00","111,60"
IBEX 35® Volatilidad Objetivo 18% Financiado,"112,10","113,00","111,60"
IBEX 35® Volatilidad Objetivo 18% Financiado,"112,10","113,00","111,60"
IBEX 35® Volatilidad Objetivo 18% Financiado,"112,10","113,00","111,60"
VIBEX®,"112,10","113,00","111,60"
VIBEX®,"112,10","113,00","111,60"
VIBEX®,"23,11","113,00","111,60"
VIBEX®,"23,11","113,00","111,60"
VIBEX®,"23,11","23,11","111,60"
VIBEX®,"23,11","23,11","23,11"
VIBEX®,"23,11","23,11","23,11"
VIBEX®,"23,11","23,11","23,11"
VIBEX®,"23,11","23,11","23,11"
IBEX 35® Skew,"23,11","23,11","23,11"
IBEX 35® Skew,"23,11","23,11","23,11"
IBEX 35® Skew,"7,19","23,11","23,11"
IBEX 35® Skew,"7,19","23,11","23,11"
IBEX 35® Skew,"7,19","7,19","23,11"
IBEX 35® Skew,"7,19","7,19","7,19"
IBEX 35® Skew,"7,19","7,19","7,19"
IBEX 35® Skew,"7,19","7,19","7,19"
IBEX 35® Skew,"7,19","7,19","7,19"
IBEX 35® BuyWrite,"7,19","7,19","7,19"
IBEX 35® BuyWrite,"7,19","7,19","7,19"
IBEX 35® BuyWrite,"1.259,00","7,19","7,19"
IBEX 35® BuyWrite,"1.259,00","7,19","7,19"
IBEX 35® BuyWrite,"1.259,00","1.259,00","7,19"
IBEX 35® BuyWrite,"1.259,00","1.259,00","1.259,00"
IBEX 35® BuyWrite,"1.259,00","1.259,00","1.259,00"
